station_a,station_b,distance_km
Furnitz,Neuhaus_a.d.Gail,2.79770212765518
Furnitz,Villach_Sud_Gvbf,2.2392065160262176
Gleienfeld,Scheiblingkirchen-Warth,1.719231170981917
Gleienfeld,Seebenstein,3.046921929924511
AB__-_Sgk_A1,Scheiblingkirchen-Warth,1.0141629825929397
AB_-_Erf_A2,Wieselburg_a.d.Erlauf,0.9264430768085534
AB_-_Erf_A2,Petzenkirchen,0.7395362174496652
AB_-_Wie_A1A,Wieselburg_a.d.Erlauf,5.103522729905399
Muhling,Wieselburg_a.d.Erlauf,2.420264676209403
Kematen_in_Tirol,Vols,3.403733186512567
Innsbruck_Westbf,Vols,5.299940766276477
Kematen_in_Tirol,Sbl Vl 1 [BSTS_ID=2331],0.19952087688832942
AB_-_Ko_A2,AB_-_Ko_A3,1.2427274469355893
AB_-_Ko_A1,AB_-_Ko_A2,0.1942173654143436
AB_-_Ko_A3,AB_-_Ko_A4,0.43209643731724157
Puchenau,Puchenau_West,1.2009751300196803
Linz_Urfahr,Puchenau,3.077396452046532
Achleitnersiedlung,Puchenau_West,1.5699613761166618
Oberland,Stadt_Waidhofen_a.d.Ybbs,6.2144308682692175
Stadt_Waidhofen_a.d.Ybbs,Waidhofen_a.d.Ybbs,1.1688387437261212
Oberland,Oberland_Haltestelle,0.41518685320382054
Abzww_Traun_Nord,Traun,0.372242863279121
Abzww_Knoten_Wagram_Nord,Ust_Tfd_4,4.515822575751978
Sbl Tfd 3 [BSTS_ID=4759007],Ust_Tfd_4,4.171729000899291
Abzww_Knoten_Wagram_Nord,Knoten_Wagram,1.3447593775220896
AB_-_Gru_A1,Grunbach_Kohlenwerk,3.603392224660502
Gaflenz,Oberland_Haltestelle,1.7772056624598804
Abzww_Werndorf_Sud,Werndorf_West,0.5268562512743339
Werndorf_West,Wundschuh,1.336299337519429
Abzww_Werndorf_Sud,Werndorf,0.44961781625992975
Abzw_Knoten_Weitendorf,Abzww_Werndorf_Sud,1.228977750806446
AB__-_Wr_A2,Abzww_Werndorf_Sud,1.6668491669685745
Ust_Pz_1,Wien_Penzing,1.3929440076016313
Wien_Penzing,Wien_Penzing_Fbf,0.6691576527804581
Lutzowgasse,Wien_Penzing,0.6365708675542933
Wien_Penzing,Wien_Westbf-Fbf,1.5024813706623332
Wien_Breitensee,Wien_Penzing,0.5667014179799627
Ust_Pz_1,Wien_Hutteldorf_Guterzuggruppe,1.218733226085415
Kreisbach,Traisen,4.8557470573404355
Traisen,Wiesenfeld-Schwarzenbach,2.772115198779548
AB__-_Lil_A2,Traisen,1.8577336252743177
Kreisbach,Wilhelmsburg_a.d.Traisen,1.2132955362388447
Eisenstadt_Schule,Schutzen_am_Gebirge,6.207967948908158
Eisenstadt,Eisenstadt_Schule,0.6879938529404149
Schutzen_Ruster_Strae,Schutzen_am_Gebirge,0.8648341046186617
Innsbruck_Hbf,Innsbruck_Messe,1.074973943579776
Innsbruck_Messe,Sbl H 3 [BSTS_ID=760],0.9816233816514828
Innsbruck_Hbf,Innsbruck_Westbf,1.2383565429028147
Abzww_Innsbruck_Hbf_Sud,Innsbruck_Hbf,1.3724386750835176
Neudorf_Lst,Parndorf/Pandrof,4.446590353174089
AB__-_Par_A1,Parndorf/Pandrof,1.9200212123905138
