station_a,station_b,distance_km
Forest-Midi_Vorst-Zuid,Ruisbroek-Bundel-Inrit_Ruisbroek-Bundel-Inrit,1.344865131501888
Forest-Midi-Voies_920/926_Vorst-Zuid-Sporen_920/926,Forest-Midi_Vorst-Zuid,0.0049426863896192864
Kortrijk,Y.Zandberg,2.30030102454701
Harelbeke,Y.Zandberg,2.7136246918652893
Verb.Deerlijk-Casier,Y.Zandberg,4.198258971333491
Kortrijk,Y.Bethune,0.8748599167583617
Kortrijk,Y.Leiebrug,0.9186014260316798
Eine,Y.Eine,2.1430161790241384
Oudenaarde,Y.Eine,0.6418621268997001
Eine,Zingem,4.5183269283013425
Antwerpen-Kiel,Antwerpen-Kiel-Rooster_W/U,0.8636455756089713
Antwerpen-Kiel-Rooster_W/U,Hoboken-Polder,1.0215755061603609
Antwerpen-Kiel-Rooster_I/J,Antwerpen-Kiel-Rooster_W/U,1.6184178938891352
Antwerpen-Kiel,Antwerpen-Kiel-Rooster_I/J,0.7547982135457768
Diest,Zichem,4.62977073852567
Diest,Y.Diest,0.8342812194213789
Testelt,Zichem,2.926591026141095
Evergem-Uitrit_Bundel_Zandeken,Verb.GTS,1.870443646858613
Evergem-Bundel_Zandeken,Evergem-Uitrit_Bundel_Zandeken,0.3816784773186482
Evergem-Uitrit_Bundel_Zandeken,Verb.GhentRenewables,0.6743435698465524
Mechelen-Dijkstraat,Mechelen-Nekkerspoel,0.7240761540529866
Mechelen-Nekkerspoel,Y.Muizen,0.9673916069938974
Mechelen,Mechelen-Nekkerspoel,1.4631810833470065
Mechelen-Nekkerspoel,Y.Nekkerspoel,0.2908265852034458
Mechelen-Dijkstraat,Y.Otterbeek,1.966012324898968
Mechelen-Dijkstraat,Y.Sint-Katelijne-Waver,3.6070401014329385
Mechelen-Dijkstraat,Sint-Katelijne-Waver,3.842093970181944
Duffel,Sint-Katelijne-Waver,2.3133805131746072
Sint-Katelijne-Waver,Y.Sint-Katelijne-Waver,0.2398527895596194
Aalst-Rooster_Oost,Erembodegem,1.6539727556255075
Denderleeuw,Erembodegem,3.251304278985514
Aalst,Aalst-Rooster_Oost,1.3465693556568699
Aalst-Oost,Aalst-Rooster_Oost,0.3137500175782615
L50D-YFEB_WART864,Y.Bellem,0.7129434789566415
L50D-YFEB_WART863,Y.Bellem,0.3645838301103878
L50D-YFEB_WART973,Y.Bellem,0.3866344587479639
Aalter,Y.Bellem,2.1988495819306015
Bruxelles-Central_Brussel-Centraal,Bruxelles-Congres_Brussel-Congres,0.8191514620405435
Bruxelles-Central_Brussel-Centraal,Bruxelles-Chapelle_Brussel-Kapellekerk,0.7906442416622788
Bruxelles-Congres_Brussel-Congres,Bruxelles-Nord_Brussel-Noord,0.8968600266970572
Forest-Faisceau_M_Vorst-Bundel_M,Forest-Midi-Voies_920/926_Vorst-Zuid-Sporen_920/926,0.4865090455798901
Forest-Faisceau_M_Vorst-Bundel_M,Forest-TGV-TO97XD_Vorst-HST-TO97XD,0.24997909972895288
Forest-Midi-Voies_920/926_Vorst-Zuid-Sporen_920/926,Forest-Voitures_Vorst-Rijtuigen,0.7850921008577049
Forest-Carwash_Vorst-Carwash,Forest-Midi-Voies_920/926_Vorst-Zuid-Sporen_920/926,0.7422637966783185
Bruxelles-Midi-A.T.-TGV_Brussel-Zuid-T.W.-HST,Forest-Midi-Voies_920/926_Vorst-Zuid-Sporen_920/926,0.8654374848712001
Jabbeke,Oostende-Rooster_C,8.422127220212948
Brugge,Jabbeke,8.606680555951748
Oostende-Bundel_Plassendale_1,Oostende-Rooster_C,1.2074087869099934
Oostende-Rooster_C,Oostende-Zeehaven,0.5989678387218991
Oostende-Rooster_C,Oostende-Rooster_G,2.0803080895660075
Muizen,Muizen-Rooster_T,0.2337376539266946
Mechelen-C.W.,Muizen-Rooster_T,2.299821098121995
Muizen-Rooster_T,Y.Prinsenhoek,1.0584445377479377
Muizen-Rooster_T,Y.Hever,1.571170542955059
Muizen,Muizen-Goederen,0.818115170408802
Muizen,Y.Muizen,2.0080916652996543
Mechelen,Muizen,2.387992595154413
Lobbes,Thuin,2.022685464880629
Hourpes,Thuin,2.7213427424576166
Lobbes,Lobbes-Garage,0.2723881523138173
Kinkempois-Block_2,Y.Garde-Dieu,0.6967469885583829
Kinkempois-Block_2,Kinkempois-Relais,1.0665379196518607
Kinkempois-Block_2,Kinkempois-Formation,0.5578767953621936
Antwerpen-W.H.-B.Kalishoek,Y.Kalishoek-Oost,0.8321936343097408
Y.Geslecht-Zuid,Y.Kalishoek-Oost,0.5953943262740722
Y.Kalishoek-Oost,Y.Kalishoek-West,1.3733205866964084
Antwerpen-W.H.-B.Kalishoek,Y.Kalishoek-West,0.6088854712925127
Dilbeek,Sint-Martens-Bodegem,2.6887874297016205
Sint-Martens-Bodegem,Ternat,2.9062030385700037
Gedinne-Marchandises,Voneche,8.90753514425495
Kortrijk-Ringlaan,Y.Bethune,2.3546375193375972
Kortrijk-Goederen,Y.Bethune,0.7615369933122671
Y.Bethune,Y.Leiebrug,0.3836281480485461
Aarschot-Rooster_Noord,Y.Noord_Driehoek_Aarschot,1.139556152025528
Aarschot-Rooster_Noord,Begijnendijk,2.2733703533409386
Y.Noord_Driehoek_Aarschot,Y.Oost_Driehoek_Aarschot,0.567294655228583
Antwerpen-Noord-Blok_G9-H9,Antwerpen-Noord-Bundel_C2,0.6184425665084186
Antwerpen-Noord-Bundel_C2,Antwerpen-Noord-Uitrit_C1,0.8407230128660953
Antwerpen-Noord-Bl.9-Rooster_J,Antwerpen-Noord-Blok_G9-H9,0.9600894643036798
Antwerpen-Noord-Blok_G9-H9,Y.Kruiske,0.6223061292012445
Antwerpen-Noord-Blok_G9-H9,Antwerpen-Noord-Bundel_C3,0.43720757875653365
Antwerpen-Noord-Blok_G9-H9,Antwerpen-Noord-Perron_CHW,0.4540140188458869
Antwerpen-Noord-Blok_G9-H9,Y.Oorderen,0.3311942455262819
Antwerpen-Haven,Antwerpen-Noord-Blok_G9-H9,2.0069094952408606
Bruxelles-Midi-A.T.-TGV_Brussel-Zuid-T.W.-HST,Forest-Nord_Vorst-Noord,0.5083806560077732
Forest-Nord_Vorst-Noord,Y.Bruxelles-Petite-Ile_Y.Brussel-Klein-Eiland,0.2448039434982824
Forest-Nord_Vorst-Noord,Forest-TGV-TO97XD_Vorst-HST-TO97XD,0.6400244653057847
Bruxelles-Petite-Ile-Carwash_Brussel-Klein-Eiland-Carwash,Forest-Nord_Vorst-Noord,0.1783517157953892
Forest-Nord_Vorst-Noord,Forest-Voitures-Quai_Service_Vorst-Rijtuigen-Dienstperron,0.5143256049338256
Bruxelles-Midi-A.T.-TGV_Brussel-Zuid-T.W.-HST,Forest-TGV-TO97XD_Vorst-HST-TO97XD,0.13812752792872524
Forchies,Y.Martinet,5.235689894439341
Y.Eivoorde,Zeebrugge-Bundel_Ramskapelle,2.2646815614083016
Zeebrugge-BRAM-Toyota,Zeebrugge-Bundel_Ramskapelle,0.6283675972294845
Zeebrugge-Bundel_Ramskapelle,Zeebrugge-Sea-Ro_Terminal,2.9029065280616897
Zeebrugge-BRAM-B.CAST,Zeebrugge-Bundel_Ramskapelle,0.6602318761542424
Zeebrugge-BRAM-CDMZ,Zeebrugge-Bundel_Ramskapelle,0.289309198017064
Zeebrugge-BRAM-DSP880,Zeebrugge-Bundel_Ramskapelle,0.6010733591568904
Zeebrugge-BRAM-Tankinst.,Zeebrugge-Bundel_Ramskapelle,0.33377694196033697
Begijnendijk,Booischot,2.586965274870294
Booischot,Heist-op-den-Berg,5.974741396928938
Eupen,Raeren,7.483816519288513
Eupen,Welkenraedt,5.190407908602855
Raeren,Raeren-Frontiere,1.8622385038591154
Evergem,Wondelgem,2.4090562998047704
Wondelgem,Wondelgem-Bundel,0.38456362292714197
Wondelgem,Wondelgem-SAS636,0.4906298625357567
Wondelgem,Wondelgem-Inrit_Bundel,0.67485074514316
Evergem,Sleidinge,3.1671593976647556
Y.Beauregard,Y.Patard,3.645392418773411
Halle-Ring,Y.Beauregard,25.131828894713603
Y.Beauregard,Y.Silly,1.3207020589158247
Tourpes,Y.Patard,16.350389561754678
Le_Coucou-Base_LGV,Y.Patard,0.9630195133051815
Chatelet-Gril_Est,Le_Campinaire,1.1501497511771865
Chatelet-Formation,Le_Campinaire,0.971605192126468
Chatelet-Faisceau_C,Le_Campinaire,0.7444550441112281
Farciennes,Le_Campinaire,0.9151886489943366
Chatelet,Chatelet-Gril_Est,1.01328242120733
Chatelet-Gasoil,Chatelet-Gril_Est,0.8663044525618764
Chatelet-Faisceau_C,Chatelet-Gril_Est,0.40805479205929585
Chatelet-Carwash,Chatelet-Gril_Est,0.26914169145964545
Chatelet-Formation,Chatelet-Gril_Est,0.2462385241498079
Barvaux,Melreux-Hotton,8.54511096102815
Barvaux,Bomal,3.2789822160287323
Melreux-Hotton,Racc.Marche-Defense_Nationale,5.8114090187948735
Kiewit_Inrit,Y.Zonhoven,1.0922273392671082
Y.Zonhoven,Zonhoven-Rooster_P/U,1.206590851380759
Y.Noord_Driehoek_Hasselt,Y.Zonhoven,1.562257750718892
Kiewit,Kiewit_Inrit,0.5774253873949701
Gent-Sint-Pieters,Gent-Sint-Pieters-Bundels,0.40641259198350843
Gent-Sint-Pieters,Y.Assels,2.6603698241141136
De_Pinte,Gent-Sint-Pieters,5.9565104723867295
Gent-Rooster_Snepbrug,Gent-Sint-Pieters,1.4162775288498977
Gent-Sint-Pieters,Lijn_50A-Seinen_467,5.366108479383575
Gent-Rooster_Snepbrug,Gent-Sint-Pieters-Bundels,1.0099496045096812
Bokrijk,Kiewit,4.076883872677248
Hasselt,Hasselt-Afwisseling,1.221787878562559
Zolder,Zonhoven,5.021261507921831
Zolder,Zolder-Kruissporen,0.9079281133847329
Zonhoven,Zonhoven-Rooster_P/U,3.5327218907792477
Schaerbeek-Gril_G_Schaarbeek-Rooster_G,Schaerbeek-Groupe_R_Schaarbeek-Groep_R,0.5821497760627535
Schaerbeek-Groupe_R_Schaarbeek-Groep_R,Y.Schaerbeek-Carwash_Y.Schaarbeek-Carwash,1.363984528147588
Schaerbeek-Gril_N_Schaarbeek-Rooster_N,Schaerbeek-Groupe_R_Schaarbeek-Groep_R,1.400101056970656
Schaerbeek-Faisceau_L_Schaarbeek-Bundel_L,Schaerbeek-Groupe_R_Schaarbeek-Groep_R,0.6919489937134999
